Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Bermuda,0.00793,0.00686,0.00727,0.00771,0.00752,0.00741,0.007,0.00988,0.0108,0.01315,0.00928,0.00805,0.00647,0.00695,0.00743,0.00739,0.0075,0.00752,0.00752,0.00752,0.0075,0.00744,0.00752,0.00814,0.00869,0.00927,0.00922,0.01018,0.01017
Canada,9.6947,9.58952,9.20637,9.18989,9.78546,10.15278,10.25563,10.58943,11.05599,11.20252,10.97906,11.11733,11.46716,11.70631,12.02414,12.21325,12.56482,12.66968,12.35699,12.97692,13.07669,12.87847,13.10786,13.52061,13.83128,14.16374,13.81736,14.07179,14.02923
Greenland,0.00791,0.00746,0.00722,0.00505,0.00799,0.00714,0.00462,0.00335,0.00777,0.00671,0.00787,0.00779,0.00687,0.00708,0.00719,0.00719,0.00728,0.00746,0.00756,0.00756,0.00772,0.00796,0.00805,0.00809,0.00813,0.00829,0.00846,0.00826,0.00883
Mexico,3.72819,4.11969,4.33477,4.06414,4.18464,4.42001,4.36327,4.51142,4.58822,4.83663,4.70635,5.00522,5.10725,5.17674,5.37928,5.28936,5.51817,5.6835,5.98571,6.10047,6.37958,6.32931,6.32936,6.50563,6.48998,6.80188,7.36271,7.27651,7.30898
Saint Pierre and Miquelon,0.0022,0.00221,0.00203,0.00221,0.00216,0.00191,0.0024,0.00306,0.00319,0.00365,0.00359,0.00341,0.00318,0.00174,0.00183,0.00122,0.00121,0.00083,0.00096,0.00096,0.00105,0.00096,0.00096,0.00105,0.00113,0.00117,0.00118,0.00122,0.00125
United States,78.12376,76.1694,73.15332,73.03603,77.02972,76.7898,77.02183,79.43723,83.07769,85.17228,84.9096,84.88873,86.24994,87.89773,89.55607,91.46367,94.47994,95.03841,95.42194,97.11468,99.25385,96.53415,98.03879,98.31384,100.49743,100.60722,99.90566,101.67563,99.53011
Antarctica,0.00213,0.00213,0.00212,0.00213,0.0027,0.00304,0.00275,0.00283,0.00291,0.00288,0.00292,0.00305,0.00304,0.00304,0.00305,0.00314,0.00313,0.00314,0.00314,0.00314,0.00313,0.00318,0.00318,0.00327,0.00325,0.00348,0.00348,0.00335,0.00362
Antigua and Barbuda,0.00598,0.00531,0.00711,0.00415,0.0047,0.00461,0.00462,0.00564,0.0058,0.00582,0.00608,0.006,0.00598,0.00588,0.00661,0.00679,0.00677,0.00705,0.00705,0.00705,0.00725,0.00727,0.00732,0.00776,0.00836,0.00909,0.00927,0.00891,0.00931
Argentina,1.64042,1.59706,1.67295,1.69346,1.83705,1.74194,1.89743,1.95167,1.95689,1.94008,1.87411,1.9716,2.04718,1.9703,2.24293,2.31167,2.3942,2.46373,2.57501,2.60392,2.66834,2.61214,2.48152,2.6667,2.78017,2.95424,3.1205,3.2614,3.2942
Aruba,--,--,--,--,--,--,0.00146,0.00146,0.00556,0.00747,0.00787,0.00858,0.00921,0.0089,0.0104,0.01201,0.0079,0.01264,0.01277,0.01277,0.01349,0.01353,0.01353,0.01442,0.01452,0.01487,0.01597,0.01461,0.01496
"Bahamas, The",0.0599,0.06326,0.0541,0.04065,0.03669,0.03321,0.03275,0.03622,0.0338,0.03847,0.04116,0.0365,0.03061,0.02965,0.03625,0.04254,0.04778,0.04751,0.0536,0.04834,0.04749,0.0466,0.0469,0.0566,0.0572,0.0658,0.06591,0.06274,0.06832
Barbados,0.01446,0.0153,0.01527,0.01613,0.01555,0.01715,0.01826,0.01731,0.01645,0.01773,0.0184,0.01857,0.01877,0.01777,0.018,0.01844,0.0164,0.02033,0.02098,0.0215,0.02378,0.02293,0.02293,0.02335,0.01599,0.0216,0.0206,0.0187,0.02018
Belize,0.0033,0.00302,0.00283,0.00283,0.0031,0.0031,0.00379,0.00306,0.00221,0.0032,0.00453,0.00506,0.00433,0.00401,0.00408,0.00511,0.00454,0.00709,0.00706,0.00726,0.01033,0.01335,0.01273,0.01304,0.01392,0.01471,0.01597,0.01635,0.01676
Bolivia,0.07454,0.0834,0.07371,0.07562,0.07319,0.06694,0.06835,0.06706,0.07765,0.08738,0.09261,0.09142,0.09831,0.08471,0.10848,0.12355,0.12144,0.13574,0.12567,0.14125,0.16198,0.14539,0.15743,0.19905,0.20276,0.20148,0.22697,0.23411,0.25172
